Domain	SpendDate	SpendSum	SalesRevenue	ARank	QRank	Premium_yes	Total	STATUS
doodlesndanes.com	2023-07-26 07:00:00	154	0	61958619	-1	0.0	27.0	Rejected
downhomecoastal.com	2023-07-26 07:00:00	0	0	100000001	0	0.0	13.0	Accepted
dragonflyeditorial.com	2023-07-31 07:00:00	318	0	1365918	-1	2.0	40.0	Accepted
drcprint.com	2023-07-27 07:00:00	0	0	100000001	0	0.0	22.0	Accepted
dream-realty.com	2023-08-10 05:32:00	0	23836	73557058	-1	2.0	27.0	Accepted
eatcoop.com	2023-07-27 07:00:00	350	22379	31798883	-1	1.0	22.0	Accepted
echouses.com	2023-07-27 07:00:00	370	0	38908217	-1	3.0	26.0	Accepted
ecopod.us	2023-07-27 07:00:00	0	0	11641395	-1	0.0	25.0	Rejected
edgecapitalholdings.com	2023-07-27 07:00:00	0	0	100000001	0	0.0	14.0	Accepted
efchildcare.com	2023-07-27 07:00:00	0	0	100000001	0	0.0	14.0	Accepted
elevationdesign.group	2023-07-27 07:00:00	40	0	100000001	-1	1.0	11.0	Accepted
elpbnb.com	2023-07-27 07:00:00	0	0	100000001	0	0.0	14.0	Rejected
emmanuelgreene.com	2023-07-28 07:00:00	299	0	23446428	-1	1.0	21.0	Rejected
equipomex.com	2023-07-28 07:00:00	0	0	84631856	0	0.0	19.0	Accepted
escobarholdings.com	2023-09-10 17:11:00	0	28865	100000001	-1	0.0	20.0	Rejected
ethurethur.com	2023-07-28 07:00:00	0	0	18250282	-1	0.0	23.0	Accepted
europeanstonetile.com	2023-07-29 07:00:00	376	0	48414326	-1	2.0	40.0	Accepted
eventradiorentals.com	2023-07-28 07:00:00	632	17209	44430440	-1	3.0	70.0	Accepted
factotumcoffee.com	2023-07-28 07:00:00	115	7782	68911186	-1	0.0	31.0	Accepted
faintinggoatstudios.com	2023-07-29 07:00:00	420	26749	100000001	-1	3.0	23.0	Rejected
farmhousepaintandsip.com	2023-07-29 07:00:00	0	0	11317022	-1	0.0	3.0	Accepted
fayetteindustries.com	2023-07-29 07:00:00	31	0	70021459	-1	2.0	30.0	Accepted
finn.auto	2023-07-31 07:00:00	3814	0	1756030	498059	5.0	16.0	Accepted
fleetfeetfresno.com	2023-07-30 07:00:00	0	0	23399882	-1	0.0	6.0	Accepted
foodshed.coop	2023-08-23 11:32:00	0	0	31584595	-1	2.0	39.0	Accepted
for-ny.org	2023-07-30 07:00:00	1136	0	4045271	-1	5.0	48.0	Accepted
fortnightbrewing.com	2023-07-30 07:00:00	208	0	2259515	-1	0.0	52.0	Accepted
fowlerandsonsinc.com	2023-07-30 07:00:00	232	15533	37114510	-1	2.0	34.0	Accepted
fradeibistro.com	2023-07-30 07:00:00	350	22379	15326136	-1	1.0	22.0	Accepted
fudo-ae.com	2023-07-30 07:00:00	0	0	28610244	0	0.0	3.0	Accepted
future.surf	2023-07-25 07:00:00	14	2177	100000001	-1	0.0	1.0	Rejected
gametime.com	2023-07-31 07:00:00	3361	229399	1508836	111766	7.0	41.0	Accepted
gamgllc.com	2023-07-30 07:00:00	0	0	4866707	-1	0.0	14.0	Accepted
gatherprojects.com	2023-07-31 07:00:00	373	0	32653695	-1	2.0	24.0	Accepted
gazelleis.com	2023-07-31 07:00:00	173	0	100000001	0	1.0	9.0	Accepted
geckogrillaz.com	2023-07-31 07:00:00	300	0	21099219	-1	1.0	39.0	Accepted
gehlfoods.com	2023-07-31 07:00:00	567	0	23912628	-1	1.0	8.0	Accepted
gingerelizabeth.com	2023-07-31 22:00:00	718	45678	1763997	-1	3.0	59.0	Accepted
glocreative.com	2023-07-31 07:00:00	0	0	15905724	-1	0.0	23.0	Rejected
goatfoods.com	2023-07-31 07:00:00	0	0	100000001	0	0.0	15.0	Accepted
gogginscreations.com	2023-07-31 07:00:00	349	25714	21125336	-1	3.0	43.0	Accepted
graniteortho.com	2023-08-01 07:00:00	14	0	14527279	-1	1.0	43.0	Accepted
grantlandusa.com	2023-08-01 07:00:00	0	0	100000001	0	0.0	13.0	Rejected
grantsystemsmgmt.com	2023-08-01 07:00:00	115	7782	61626747	0	0.0	10.0	Accepted
gravagroup.com	2023-09-07 21:32:00	0	7782	100000001	-1	0.0	19.0	Accepted
greatheart.io	2023-06-20 07:00:00	0	0	32713445	0	0.0	25.0	Accepted
greenconstructionservicesllc.com	2023-08-01 07:00:00	0	0	100000001	-1	0.0	25.0	Accepted
greenmedgroup.com	2023-07-29 07:00:00	367	0	100000001	0	1.0	18.0	Accepted
greenmediainc.com	2023-07-26 22:00:00	233	0	13476445	0	0.0	1.0	Accepted
grissominsurance.com	2023-07-29 07:00:00	443	0	100000001	-1	0.0	1.0	Accepted
gstav.com	2023-07-27 07:00:00	61	0	47719089	-1	0.0	2.0	Accepted
guardia1.com	2023-07-31 07:00:00	706	6846	10217786	-1	1.0	31.0	Accepted
habilpr.com	2023-06-19 07:00:00	0	0	100000001	-1	0.0	3.0	Accepted
harding-inc.com	2023-07-27 07:00:00	31	0	25461878	-1	0.0	1.0	Accepted
